"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"2002:Q2", 45145663,557.50, 53494189,660.60, 8348526,103.10,19183244,236.89,34310945,423.70, 5639128,69.64,1917644,23.68, 791754, 9.78,14172009,175.01,3442973,42.52,1568262,19.37, 5484009,67.72, 5747509, 70.98, 3587595,44.30, 7445643, 91.95, 5352587, 66.10, 6693603, 82.66, -734541,-1123594,  370121,  18931, 8097865
"2002:Q1", 45880204,574.75, 54040221,676.97, 8160016,102.22,18763824,235.06,35276397,441.91, 5462407,68.43,1883516,23.60, 814093,10.20,13814462,173.06,3398272,42.57,1551090,19.43, 5522601,69.18, 6441628, 80.70, 4017069,50.32, 7361870, 92.22, 5282127, 66.17, 6651101, 83.32,  604594,   90404,  286645, 227546, 7982660
"2001:Q4", 45275610,581.03, 53303756,684.06, 8028146,103.03,18438161,236.62,34865595,447.44, 5324935,68.34,1891827,24.28, 811384,10.41,13548401,173.87,3364260,43.17,1525500,19.58, 5445221,69.88, 6422147, 82.42, 3946147,50.64, 7279091, 93.41, 5232412, 67.15, 6540578, 83.94, 1506730, 1162076,  215751, 128902, 7792252
"2001:Q3", 43768880,554.94, 51671525,655.13, 7902645,100.20,18166086,230.32,33505439,424.81, 5210501,66.06,1814351,23.00, 877793,11.13,13307077,168.72,3311313,41.98,1547696,19.62, 5305437,67.27, 5666838, 71.85, 3539379,44.88, 7162654, 90.81, 5223784, 66.23, 6607347, 83.77,-1173484,-1774793,  379174, 222135, 7887189
"2001:Q2", 44942364,583.31, 52590513,682.58, 7648149, 99.27,17751331,230.40,34839182,452.18, 5062200,65.70,1784249,23.16, 801700,10.41,12949742,168.08,3278779,42.56,1522810,19.76, 5163805,67.02, 6788453, 88.11, 4192556,54.42, 7046565, 91.46, 5160888, 66.98, 6486914, 84.19, 1221804,  781241,  346964,  93599, 7704718
"2001:Q1", 43720560,569.12, 51173551,666.14, 7452990, 97.02,17368363,226.09,33805188,440.05, 4901360,63.80,1749724,22.78, 801906,10.44,12607163,164.11,3246733,42.26,1514467,19.71, 5132047,66.81, 6317122, 82.23, 3882647,50.54, 6931323, 90.23, 5103328, 66.43, 6438721, 83.81, -586375,-1418163,  406834, 424954, 7682075
"2000:Q4", 44306936,585.94, 51713996,683.89, 7407060, 97.95,16912563,223.66,34801433,460.23, 4816784,63.70,1741267,23.03, 849010,11.23,12205274,161.41,3201757,42.34,1505532,19.91, 4817716,63.71, 7212642, 95.38, 4405289,58.26, 6819813, 90.19, 5021989, 66.41, 6523983, 86.28, -644439,-1522741,  444694, 433608, 7561740
"2000:Q3", 44951374,599.89, 52215310,696.83, 7263936, 96.94,16410521,219.00,35804789,477.83, 4721811,63.01,1667073,22.25, 875052,11.68,11813384,157.65,3148184,42.01,1448953,19.34, 4637847,61.89, 8269926,110.36, 4870746,65.00, 6727201, 89.78, 4884007, 65.18, 6415062, 85.61,  730632,  -28139,  479671, 279100, 7493267
"2000:Q2", 44220743,600.69, 51303164,696.90, 7082421, 96.21,15882831,215.75,35420333,481.15, 4609105,62.61,1601771,21.76, 871545,11.84,11445073,155.47,3104712,42.17,1333046,18.11, 4581022,62.23, 8323128,113.06, 4845684,65.82, 6636330, 90.15, 4657875, 63.27, 6376294, 86.62, -317297, -738937,  407268,  14372, 7361615
"2000:Q1", 44538040,614.45, 51471071,710.09, 6933031, 95.65,15414198,212.65,36056873,497.44, 4496731,62.04,1553765,21.44, 882535,12.18,11038458,152.29,3047928,42.05,1327812,18.32, 4592649,63.36, 8890938,122.66, 5016811,69.21, 6547408, 90.33, 4606565, 63.55, 6402501, 88.33, 1308737,  774960,  380698, 153080, 7248488
"1999:Q4", 43229303,612.89, 50034480,709.37, 6805178, 96.48,14972235,212.27,35062245,497.10, 4434475,62.87,1553622,22.03, 817081,11.58,10644520,150.91,2991121,42.41,1336594,18.95, 4474383,63.44, 8476461,120.18, 4656328,66.02, 6459488, 91.58, 4566826, 64.75, 6428760, 91.14, 2938896, 2206315,  280666, 451915, 7053398
"1999:Q3", 40290407,583.22, 46924140,679.25, 6633734, 96.03,14646450,212.01,32277690,467.24, 4351224,62.99,1511895,21.89, 770614,11.16,10395701,150.48,2950733,42.71,1300016,18.82, 4304412,62.31, 7012879,101.51, 3913596,56.65, 6366954, 92.16, 4483578, 64.90, 6196272, 89.69,  -59724, -610606,  313556, 237326, 6908221
"1999:Q2", 40350130,591.19, 46823379,686.03, 6473249, 94.84,14283718,209.28,32539661,476.75, 4233199,62.02,1471581,21.56, 768469,11.26,10130979,148.43,2904870,42.56,1247869,18.28, 4224478,61.89, 7419060,108.70, 4118020,60.33, 6274056, 91.92, 4349013, 63.72, 6155035, 90.18, 1151088,  874138,  231145,  45806, 6825260
"1999:Q1", 39199042,578.76, 45517177,672.04, 6318135, 93.28,14005270,206.78,31511907,465.26, 4136676,61.08,1442398,21.30, 739061,10.91, 9893145,146.07,2861307,42.25,1250818,18.47, 4275605,63.13, 6861071,101.30, 3801872,56.13, 6182264, 91.28, 4318760, 63.76, 6072336, 89.66,  516686,  150431,  198396, 167859, 6772954
"1998:Q4", 38682356,577.79, 44913084,670.86, 6230728, 93.07,13775947,205.77,31137137,465.09, 4057442,60.61,1441272,21.53, 732014,10.93, 9692739,144.78,2833799,42.33,1249409,18.66, 4224886,63.11, 6841550,102.19, 3670962,54.83, 6092214, 91.00, 4301415, 64.25, 6006110, 89.71, 2195063, 1734477,  256511, 204075, 6694895
"1998:Q3", 36487293,550.76, 42570796,642.58, 6083502, 91.83,13478408,203.45,29092388,439.13, 3964840,59.85,1400718,21.14, 717944,10.84, 9459748,142.79,2796770,42.22,1221890,18.44, 4052163,61.17, 5741470, 86.66, 3036565,45.84, 5993958, 90.48, 4245356, 64.08, 6022876, 90.91, -789817,-1258985,  248009, 221158, 6624940
"1998:Q2", 37277110,570.10, 43243867,661.35, 5966757, 91.25,13198084,201.85,30045783,459.51, 3888138,59.46,1367744,20.92, 710875,10.87, 9243040,141.36,2767755,42.33,1187289,18.16, 3978913,60.85, 6556114,100.27, 3480905,53.24, 5896576, 90.18, 4177487, 63.89, 5955788, 91.09,  562819,  169949,  217751, 175119, 6538701
"1998:Q1", 36714292,570.24, 42540737,660.73, 5826445, 90.49,12949483,201.13,29591254,459.60, 3809490,59.17,1324043,20.56, 692912,10.76, 9025028,140.17,2740136,42.56,1184319,18.39, 3962434,61.54, 6468910,100.47, 3398160,52.78, 5799498, 90.08, 4164465, 64.68, 5797788, 90.05, 1698360, 1119245,  235840, 343275, 6438429
"1997:Q4", 35015932,555.35, 40785529,646.86, 5769597, 91.51,12689035,201.25,28096494,445.61, 3754238,59.54,1344165,21.32, 671194,10.65, 8854960,140.44,2718027,43.11,1116048,17.70, 3907196,61.97, 5800119, 91.99, 2947706,46.75, 5704961, 90.48, 4043477, 64.13, 5693034, 90.29,  479304,   39293,  189575, 250437, 6305190
"1997:Q3", 34536627,557.56, 40209913,649.15, 5673286, 91.59,12470467,201.32,27739446,447.83, 3717007,60.01,1305805,21.08, 650474,10.50, 8731035,140.95,2690060,43.43,1049372,16.94, 3838017,61.96, 5752283, 92.87, 2956250,47.73, 5635600, 90.98, 3908885, 63.11, 5648411, 91.19, 1065190,  753926,  144089, 167174, 6194206
"1997:Q2", 33471438,548.17, 39023829,639.10, 5552391, 90.93,12301344,201.46,26722485,437.64, 3631924,59.48,1278038,20.93, 642429,10.52, 8621566,141.20,2667040,43.68,1012738,16.59, 3781168,61.93, 5314765, 87.04, 2639841,43.23, 5566183, 91.16, 3829261, 62.71, 5591267, 91.57, 1309466, 1126081,  110078,  73307, 6106041
"1997:Q1", 32161972,532.73, 37618078,623.10, 5456106, 90.37,12179377,201.74,25438701,421.36, 3580473,59.31,1254175,20.77, 621458,10.29, 8507196,140.91,2657101,44.01,1015080,16.81, 3768315,62.42, 4563946, 75.60, 2264579,37.51, 5498177, 91.07, 3805393, 63.03, 5538291, 91.74,  395405,   16664,  160980, 217761, 6037244
"1996:Q4", 31766567,533.54, 37180792,624.47, 5414225, 90.93,11987594,201.34,25193198,423.13, 3538132,59.42,1273878,21.40, 602216,10.11, 8429118,141.57,2627993,44.14, 930483,15.63, 3718297,62.45, 4577264, 76.88, 2234597,37.53, 5431839, 91.23, 3666822, 61.59, 5564380, 93.46,  762485,  448119,   99199, 215167, 5953959
"1996:Q3", 31004082,527.07, 36318726,617.42, 5314644, 90.35,11864727,201.70,24453999,415.72, 3488838,59.31,1229847,20.91, 595959,10.13, 8344024,141.85,2605219,44.29, 915484,15.56, 3676758,62.51, 4277186, 72.71, 2086556,35.47, 5362412, 91.16, 3604885, 61.28, 5446201, 92.59,  293262,   92801,   91208, 109253, 5882311
"1996:Q2", 30710820,528.56, 35927057,618.34, 5216237, 89.78,11746038,202.16,24181019,416.18, 3431661,59.06,1196579,20.59, 587997,10.12, 8247810,141.95,2578831,44.38, 919397,15.82, 3631465,62.50, 4280477, 73.67, 1990465,34.26, 5293667, 91.11, 3585017, 61.70, 5399928, 92.94,  434430,  244950,   95700,  93780, 5810282
"1996:Q1", 30276390,529.38, 35392253,618.83, 5115862, 89.45,11633396,203.41,23758857,415.42, 3378306,59.07,1162207,20.32, 575350,10.06, 8152823,142.55,2562423,44.80, 918150,16.05, 3642779,63.69, 4158305, 72.71, 1867687,32.66, 5225735, 91.37, 3573886, 62.49, 5290465, 92.50,  633411,  296152,  105197, 232062, 5719234
"1995:Q4", 29642979,526.12, 34687947,615.66, 5044969, 89.54,11494175,204.00,23193772,411.65, 3319925,58.92,1168160,20.73, 556884, 9.88, 8055158,142.97,2529254,44.89, 909763,16.15, 3528399,62.62, 4006077, 71.10, 1723762,30.59, 5158201, 91.55, 3538397, 62.80, 5238936, 92.98,  648795,  401243,   82635, 164917, 5634300
"1995:Q3", 28994183,519.88, 33944654,608.65, 4950471, 88.77,11386989,204.18,22557665,404.47, 3289771,58.99,1109599,19.90, 551101, 9.88, 7982730,143.14,2504989,44.92, 899270,16.12, 3481773,62.43, 3680806, 66.00, 1647790,29.55, 5083594, 91.15, 3491431, 62.60, 5172271, 92.74,  632603,  420003,   92471, 120129, 5577048
"1995:Q2", 28361580,515.30, 33198718,603.18, 4837138, 87.89,11272543,204.81,21926175,398.37, 3238302,58.84,1063126,19.32, 535709, 9.73, 7900051,143.53,2484319,45.14, 888173,16.14, 3466826,62.99, 3413501, 62.02, 1495092,27.16, 5008113, 90.99, 3440624, 62.51, 5102018, 92.70,  531059,  346260,   72226, 112572, 5503922
"1995:Q1", 27830522,510.03, 32575840,597.00, 4745319, 86.96,11175342,204.80,21400498,392.19, 3191926,58.50,1024546,18.78, 528847, 9.69, 7831375,143.52,2460699,45.10, 883268,16.19, 3400907,62.33, 3199868, 58.64, 1362465,24.97, 4933461, 90.41, 3407503, 62.45, 5096294, 93.40,  552235,  320966,   48872, 182397, 5456604
"1994:Q4", 27278286,506.66, 31993760,594.24, 4715474, 87.58,11088075,205.95,20905685,388.29, 3165940,58.80,1021168,18.97, 528366, 9.81, 7788102,144.65,2424163,45.03, 875810,16.27, 3349783,62.22, 2981242, 55.37, 1260124,23.41, 4860375, 90.27, 3360770, 62.42, 5093391, 94.60,  271588,    9589,   65988, 196011, 5383972
"1994:Q3", 27006698,511.20, 31602191,598.19, 4595493, 86.99,10993165,208.09,20609026,390.10, 3121049,59.08, 959953,18.17, 514491, 9.74, 7733141,146.38,2396499,45.36, 863525,16.35, 3327292,62.98, 2930104, 55.46, 1301673,24.64, 4792001, 90.71, 3308879, 62.63, 4949077, 93.68,  359862,  146531,   81462, 131869, 5282991
"1994:Q2", 26646836,510.97, 31153626,597.40, 4506790, 86.42,10873467,208.51,20280159,388.89, 3074622,58.96, 918580,17.61, 513588, 9.85, 7660526,146.90,2359548,45.25, 853393,16.36, 3309998,63.47, 2878005, 55.19, 1207241,23.15, 4723795, 90.58, 3274045, 62.78, 4887075, 93.71,  192364,  -30597,   92830, 130131, 5214910
"1994:Q1", 26454473,515.25, 30876252,601.38, 4421779, 86.12,10745768,209.30,20130484,392.08, 3029469,59.00, 883876,17.22, 508434, 9.90, 7579487,147.63,2326037,45.30, 840244,16.37, 3355084,65.35, 2935469, 57.17, 1180374,22.99, 4657399, 90.71, 3214654, 62.61, 4787504, 93.25,  194613, -136793,   70396, 261010, 5134268
"1993:Q4", 26259860,516.68, 30649749,603.06, 4389889, 86.37,10650069,209.55,19999680,393.51, 2999178,59.01, 886169,17.44, 504542, 9.93, 7520597,147.97,2302078,45.30, 827394,16.28, 3366141,66.23, 3071761, 60.44, 1180875,23.23, 4592055, 90.35, 3153174, 62.04, 4635674, 91.21,  452266,  189458,   87079, 175730, 5082375
"1993:Q3", 25807593,514.26, 30103801,599.87, 4296208, 85.61,10525028,209.73,19578773,390.14, 2958017,58.94, 842668,16.79, 495523, 9.87, 7436715,148.19,2265879,45.15, 822434,16.39, 3367032,67.09, 2936029, 58.51, 1127149,22.46, 4527911, 90.23, 3111837, 62.01, 4508815, 89.85,  370659,  187996,   85059,  97603, 5018395
"1993:Q2", 25436935,509.52, 29646656,593.85, 4209721, 84.32,10409547,208.51,19237109,385.33, 2907828,58.25, 818662,16.40, 483231, 9.68, 7354717,147.32,2236252,44.79, 818578,16.40, 3360998,67.32, 2838879, 56.86, 1036303,20.76, 4463929, 89.42, 3077397, 61.64, 4459603, 89.33,  267371,   70970,   82728, 113673, 4992314
"1993:Q1", 25169564,509.13, 29311402,592.91, 4141838, 83.78,10295847,208.26,19015555,384.64, 2854188,57.73, 807262,16.33, 480388, 9.72, 7270566,147.07,2206400,44.63, 818881,16.56, 3371724,68.20, 2838701, 57.42,  965510,19.53, 4400892, 89.02, 3046434, 61.62, 4392294, 88.85,  319416,  138759,    8041, 172616, 4943686
"1992:Q4", 24850148,507.56, 28984353,591.99, 4134205, 84.44,10273802,209.84,18710551,382.16, 2840353,58.01, 824769,16.85, 469084, 9.58, 7260555,148.29,2193255,44.80, 819992,16.75, 3431554,70.09, 2777313, 56.73,  888139,18.14, 4338812, 88.62, 3011033, 61.50, 4263700, 87.08,  623904,  413300,   61888, 148716, 4896050
"1992:Q3", 24226244,500.53, 28287652,584.45, 4061407, 83.91,10188253,210.50,18099399,373.95, 2795327,57.75, 801933,16.57, 464148, 9.59, 7186319,148.48,2171542,44.87, 830392,17.16, 3414410,70.54, 2442836, 50.47,  809316,16.72, 4237453, 87.55, 3016303, 62.32, 4179080, 86.34,  336670,  123630,   67974, 145066, 4840071
"1992:Q2", 23889574,499.03, 27883552,582.46, 3993978, 83.43,10099808,210.97,17783744,371.48, 2740695,57.25, 792332,16.55, 460950, 9.63, 7105888,148.43,2153079,44.98, 840841,17.56, 3424214,71.53, 2358607, 49.27,  769915,16.08, 4136136, 86.40, 3010937, 62.90, 4083934, 85.31,   77326,   -7604,   19897,  65033, 4787216
"1992:Q1", 23812248,505.68, 27762529,589.57, 3950281, 83.89,10057079,213.57,17705450,376.00, 2707721,57.50, 793353,16.85, 449207, 9.54, 7073772,150.22,2132095,45.28, 851212,18.08, 3465669,73.60, 2393662, 50.83,  742464,15.77, 4035923, 85.71, 3032785, 64.41, 4034946, 85.69,   98671,  -38509,   82352,  54828, 4708927
"1991:Q4", 23713577,516.93, 27643956,602.61, 3930379, 85.68, 9958091,217.08,17685865,385.54, 2667356,58.15, 815581,17.78, 447442, 9.75, 6979915,152.16,2117389,46.16, 860787,18.76, 3564460,77.70, 2469372, 53.83,  705263,15.37, 3936501, 85.81, 3026552, 65.98, 3983716, 86.84,  562585,  427165,   43130,  92290, 4587353
"1991:Q3", 23150992,512.55, 26997739,597.71, 3846747, 85.16, 9899363,219.17,17098376,378.55, 2613968,57.87, 802500,17.77, 430279, 9.53, 6918364,153.17,2103443,46.57, 877556,19.43, 3548340,78.56, 2101677, 46.53,  645793,14.30, 3866736, 85.61, 3038549, 67.27, 3897281, 86.28,  263490,  177399,   10798,  75293, 4516830
"1991:Q2", 22887502,512.23, 26692269,597.39, 3804767, 85.15, 9867070,220.83,16825199,376.56, 2590113,57.97, 801306,17.93, 413348, 9.25, 6888053,154.16,2083707,46.63, 895310,20.04, 3570829,79.92, 1976416, 44.23,  593655,13.29, 3797442, 84.99, 3061948, 68.53, 3824908, 85.60,   48021,  -24735,   33738,  39018, 4468169
"1991:Q1", 22839481,517.70, 26579075,602.47, 3739594, 84.77, 9815701,222.49,16763374,379.98, 2529152,57.33, 802207,18.18, 408235, 9.25, 6850353,155.28,2067829,46.87, 897519,20.34, 3645294,82.63, 2006268, 45.48,  588539,13.34, 3729474, 84.54, 3074573, 69.69, 3719227, 84.30,  588318,  351050,   36733, 200535, 4411695
"1990:Q4", 22251163,508.28, 25965085,593.11, 3713922, 84.84, 9747666,222.66,16217419,370.45, 2489255,56.86, 824391,18.83, 400276, 9.14, 6810421,155.57,2039120,46.58, 898125,20.52, 3563325,81.40, 1707493, 39.00,  536264,12.25, 3663118, 83.68, 3064348, 70.00, 3682871, 84.13,  443938,  247948,  -14878, 210868, 4377750
"1990:Q3", 21807225,500.42, 25454987,584.13, 3647762, 83.71, 9737357,223.45,15717630,360.68, 2446737,56.15, 812302,18.64, 388723, 8.92, 6825580,156.63,2016246,46.27, 895531,20.55, 3527003,80.94, 1509367, 34.64,  486443,11.16, 3596343, 82.53, 3053195, 70.06, 3545279, 81.36, -164820, -400819,   46926, 189073, 4357787
"1990:Q2", 21972045,510.43, 25556654,593.71, 3584610, 83.27, 9664374,224.51,15892280,369.19, 2395411,55.65, 798712,18.55, 390487, 9.07, 6779899,157.50,1992511,46.29, 891964,20.72, 3488163,81.03, 1833669, 42.60,  562959,13.08, 3530356, 82.01, 3034171, 70.49, 3442962, 79.98,  233245,   91834,   35078, 106333, 4304602
"1990:Q1", 21738800,513.15, 25250817,596.05, 3512018, 82.90, 9601984,226.66,15648833,369.40, 2334912,55.12, 792320,18.70, 384786, 9.08, 6743397,159.18,1967129,46.43, 891458,21.04, 3497686,82.56, 1776426, 41.93,  528368,12.47, 3466041, 81.82, 3025461, 71.42, 3354852, 79.19,  134802, -142599,   91853, 185549, 4236338
"1989:Q4", 21603997,521.35, 25048334,604.47, 3444337, 83.12, 9466523,228.45,15581811,376.02, 2260115,54.54, 809285,19.53, 374937, 9.05, 6641143,160.26,1925775,46.47, 899605,21.71, 3468739,83.71, 1889865, 45.61,  557528,13.45, 3403461, 82.13, 3006463, 72.55, 3255756, 78.57,  382442,   81579,  107223, 193641, 4143873
"1989:Q3", 21221555,520.53, 24582930,602.98, 3361375, 82.45, 9327699,228.79,15255231,374.19, 2210690,54.22, 784207,19.24, 366478, 8.99, 6544307,160.52,1896350,46.51, 887042,21.76, 3406715,83.56, 1812559, 44.46,  553255,13.57, 3323750, 81.53, 2977605, 73.04, 3181347, 78.03,  536117,  174222,  198643, 163253, 4076921
"1989:Q2", 20685438,513.77, 23962993,595.18, 3277555, 81.41, 9094639,225.89,14868354,369.29, 2146493,53.31, 769617,19.12, 361445, 8.98, 6355800,157.86,1864191,46.30, 874648,21.72, 3348772,83.17, 1681345, 41.76,  510247,12.67, 3244987, 80.60, 2962181, 73.57, 3120822, 77.51,  401843,  122978,  137696, 141169, 4026198
"1989:Q1", 20283595,509.08, 23473249,589.14, 3189654, 80.05, 8927028,224.05,14546221,365.08, 2088877,52.43, 753193,18.90, 347584, 8.72, 6230574,156.38,1836212,46.09, 860242,21.59, 3329309,83.56, 1600240, 40.16,  468375,11.76, 3166914, 79.48, 2926258, 73.44, 3055125, 76.68,  430564,   92104,  124263, 214197, 3984353
"1988:Q4", 19853031,509.75, 22998578,590.51, 3145547, 80.76, 8764943,225.05,14233635,365.46, 2054832,52.76, 745206,19.13, 345509, 8.87, 6116882,157.06,1800452,46.23, 847609,21.76, 3297687,84.67, 1535936, 39.44,  440575,11.31, 3090033, 79.34, 2885079, 74.08, 2984325, 76.63,  517382,  115504,  121905, 279973, 3894692
"1988:Q3", 19335648,506.22, 22406930,586.63, 3071282, 80.41, 8598388,225.11,13808542,361.52, 1999589,52.35, 725838,19.00, 345855, 9.05, 6007212,157.27,1758495,46.04, 832681,21.80, 3228152,84.51, 1416121, 37.07,  444886,11.65, 3039457, 79.57, 2849529, 74.60, 2830398, 74.10,  316257,   11703,  130801, 173752, 3819629
"1988:Q2", 19019392,508.95, 22009917,588.97, 2990525, 80.02, 8426199,225.48,13583718,363.49, 1942104,51.97, 710128,19.00, 338293, 9.05, 5887029,157.53,1719131,46.00, 820039,21.94, 3191069,85.39, 1385562, 37.08,  463742,12.41, 2988980, 79.98, 2818982, 75.43, 2735383, 73.20,  417915,   95356,  176310, 146249, 3737002
"1988:Q1", 18601477,508.44, 21506499,587.85, 2905022, 79.40, 8208746,224.37,13297753,363.47, 1875598,51.27, 693732,18.96, 335692, 9.18, 5721738,156.40,1680168,45.92, 806840,22.05, 3169177,86.62, 1303575, 35.63,  450372,12.31, 2939499, 80.35, 2783614, 76.09, 2651515, 72.48,  484598,  132705,  138559, 213334, 3658509
"1987:Q4", 18116879,506.43, 20977214,586.39, 2860335, 79.96, 8040425,224.76,12936789,361.63, 1828608,51.12, 698640,19.53, 333087, 9.31, 5596381,156.44,1652722,46.20, 791322,22.12, 3089760,86.37, 1197053, 33.46,  424189,11.86, 2891105, 80.82, 2739238, 76.57, 2595443, 72.55,  -67562, -378524,   91544, 219417, 3577374
"1987:Q3", 18184441,519.62, 20993766,599.90, 2809325, 80.28, 7919082,226.29,13074684,373.61, 1802929,51.52, 679637,19.42, 326759, 9.34, 5515818,157.61,1625091,46.44, 778173,22.24, 3002021,85.78, 1479791, 42.28,  519974,14.86, 2840579, 81.17, 2695490, 77.02, 2536828, 72.49,  402698,   93689,  125658, 183351, 3499570
"1987:Q2", 17781743,522.09, 20513291,602.30, 2731548, 80.20, 7755250,227.70,12758041,374.59, 1752706,51.46, 660313,19.39, 318529, 9.35, 5398714,158.51,1588289,46.63, 768247,22.56, 2956069,86.79, 1420154, 41.70,  485923,14.27, 2791612, 81.97, 2674833, 78.54, 2429450, 71.33,  277703,    8085,  134006, 135612, 3405848
"1987:Q1", 17504040,514.03, 20142298,591.51, 2638258, 77.48, 7585546,222.76,12556752,368.75, 1681564,49.38, 644317,18.92, 312377, 9.17, 5272634,154.84,1553918,45.63, 758994,22.29, 2909830,85.45, 1447637, 42.51,  450355,13.23, 2744500, 80.60, 2656040, 78.00, 2348391, 68.96,  612927,  296890,  130051, 185986, 3405257
"1986:Q4", 16891113,505.30, 19523879,584.06, 2632766, 78.76, 7422094,222.03,12101785,362.03, 1649024,49.33, 666355,19.93, 317387, 9.49, 5149189,154.04,1522048,45.53, 750857,22.46, 2926689,87.55, 1229629, 36.78,  371473,11.11, 2699044, 80.74, 2625927, 78.56, 2249022, 67.28,  543060,  178261,  123475, 241324, 3342776
"1986:Q3", 16348053,492.76, 18893663,569.49, 2545610, 76.73, 7257732,218.76,11635931,350.73, 1587994,47.86, 649888,19.59, 307728, 9.28, 5035173,151.77,1482372,44.68, 740187,22.31, 2832813,85.39, 1068228, 32.20,  354613,10.69, 2647302, 79.79, 2598044, 78.31, 2134931, 64.35,  161535, -147016,  129917, 178634, 3317667
"1986:Q2", 16186518,493.59, 18645632,568.58, 2459114, 74.99, 7079747,215.89,11565885,352.69, 1525857,46.53, 627891,19.15, 305366, 9.31, 4914702,149.87,1435734,43.78, 729311,22.24, 2766408,84.36, 1187787, 36.22,  382070,11.65, 2595871, 79.16, 2563990, 78.19, 2069758, 63.11,  361539,   59230,  133660, 168649, 3279358
"1986:Q1", 15824979,488.23, 18218387,562.07, 2393408, 73.84, 6910865,213.21,11307522,348.86, 1476952,45.57, 606799,18.72, 309657, 9.55, 4790235,147.79,1402013,43.25, 718617,22.17, 2706886,83.51, 1143461, 35.28,  367166,11.33, 2544575, 78.50, 2543505, 78.47, 2001928, 61.76,  480966,  173186,  100709, 207071, 3241309
"1985:Q4", 15344013,483.03, 17713323,557.61, 2369310, 74.59, 6783934,213.56,10929389,344.06, 1450249,45.65, 610574,19.22, 308487, 9.71, 4698860,147.92,1376882,43.34, 708192,22.29, 2648662,83.38, 1012729, 31.88,  324712,10.22, 2492396, 78.46, 2507283, 78.93, 1943607, 61.18,  465650,  210548,  160652,  94451, 3176623
